caption,name,vendor,
RSLogix 5000 v19.01.00 (CPR 9 SR 3),RSLogix 5000 v19.01.00 (CPR 9 SR 3),"Rockwell Automation, Inc.",
Rockwell Automation 1738 Ethernet Adapter Module Profile,Rockwell Automation 1738 Ethernet Adapter Module Profile,"Rockwell Automation, Inc.",
Logix5000 Task Monitor,Logix5000 Task Monitor,Rockwell Automation,
Rockwell Automation 2-Port Quick Connect ENetIP Module Profiles,Rockwell Automation 2-Port Quick Connect ENetIP Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 842E EtherNet/IP Encoder Module Profiles,Rockwell Automation 842E EtherNet/IP Encoder Module Profiles,"Rockwell Automation, Inc.",
OPC Core Components Redistributable (x64) 105.0,OPC Core Components Redistributable (x64) 105.0,OPC Foundation,
Rockwell Automation 2094 Kinetix IPIM Module Profile,Rockwell Automation 2094 Kinetix IPIM Module Profile,"Rockwell Automation, Inc.",
Rockwell Automation Drives AOP Infrastructure,Rockwell Automation Drives AOP Infrastructure,"Rockwell Automation, Inc.",
Rockwell Automation 1734 Ethernet Adapter Module Profile,Rockwell Automation 1734 Ethernet Adapter Module Profile,"Rockwell Automation, Inc.",
Rockwell Automation Dynamix Condition Monitor Module Profile,Rockwell Automation Dynamix Condition Monitor Module Profile,"Rockwell Automation, Inc.",
Rockwell Automation Stratix 5410 Module Profiles,Rockwell Automation Stratix 5410 Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1756 ControlNet Bridge Module Profiles,Rockwell Automation 1756 ControlNet Bridge Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 5XRF RFID Reader Module Profiles,Rockwell Automation 5XRF RFID Reader Module Profiles,"Rockwell Automation, Inc.",
FactoryTalk View Studio Enterprise 11.00.00 (CPR 9 SR 11),FactoryTalk View Studio Enterprise 11.00.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
Logix Designer Help ENU,Logix Designer Help ENU,"Rockwell Automation, Inc.",
Rockwell Automation 5094 Discrete Module Profiles,Rockwell Automation 5094 Discrete Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1718-19 Discrete Module Profiles,Rockwell Automation 1718-19 Discrete Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation CIP Safety Encoder Module Profiles,Rockwell Automation CIP Safety Encoder Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1718-19 Analog Module Profiles,Rockwell Automation 1718-19 Analog Module Profiles,"Rockwell Automation, Inc.",
BLH 1756 Module Profiles,BLH 1756 Module Profiles,BLH Nobel,
CA ARCserve Backup,CA ARCserve Backup,"CA, Inc.",
CA ARCserve Backup Setup Support Files,CA ARCserve Backup Setup Support Files,"CA, Inc.",
2D Barcode VCL Components 3.3.6,2D Barcode VCL Components 3.3.6,Han-soft Corporation.,
Trend Micro OfficeScan Agent,Trend Micro OfficeScan Agent,Trend Micro Inc.,
IER 99179 USB Fixed V-Com,IER 99179 USB Fixed V-Com,IER,
IERTest 2.7.0.14,IERTest 2.7.0.14,IER,
DESKO PageScan SDK,DESKO PageScan SDK,DESKO GmbH,
C3Driver version 3.8.0-1,C3Driver version 3.8.0-1,Ingenico,
D-Link DWA-171,D-Link DWA-171,D-Link Corporation,
Sage Office Addins,Sage Office Addins,Sage,
Headless Server Registry Update,Headless Server Registry Update,Hewlett-Packard Company,
HP ProLiant iLO 3 Core Driver (X64),HP ProLiant iLO 3 Core Driver (X64),Hewlett-Packard Company,
HP Smart Array SAS/SATA Event Notification Service,HP Smart Array SAS/SATA Event Notification Service,"Hewlett-Packard Development Company, L.P.",
FireEye Endpoint Agent,FireEye Endpoint Agent,FireEye,
HP ProLiant Agentless Management Service,HP ProLiant Agentless Management Service,Hewlett-Packard Company,
HP ProLiant Health Monitor Service (X64),HP ProLiant Health Monitor Service (X64),Hewlett-Packard Company,
Toshiba Soft Modem AMR,Toshiba Soft Modem AMR,,
SoundMAX,SoundMAX,Analog Devices,
Sophos AutoUpdate,Sophos AutoUpdate,Sophos Limited,
SIMATIC S7-PCT,SIMATIC S7-PCT,Siemens AG,
SIMATIC S7-PCT V3.4 + HF2 Professional 2017,SIMATIC S7-PCT V3.4 + HF2 Professional 2017,Siemens AG,
Mabry BarCod,Mabry BarCod,"Mabry Software, Inc.",
ExpressConnect Drivers & Services,ExpressConnect Drivers & Services,Rivet Networks,
Dell Watchdog Timer Driver,Dell Watchdog Timer Driver,DELL,
Veeam Installer Service,Veeam Installer Service,Veeam Software Group GmbH,
CONTEC API-DIO(98/PC)NT Ver7.20 (Runtime),CONTEC API-DIO(98/PC)NT Ver7.20 (Runtime),CONTEC,
Catalyst Control Center InstallProxy,Catalyst Control Center InstallProxy,"Advanced Micro Devices, Inc.",
AMD Catalyst Install Manager,AMD Catalyst Install Manager,"Advanced Micro Devices, Inc.",
MagicDisc 2.7.106,MagicDisc 2.7.106,,
Faux Agilent IO Libraries,Faux Agilent IO Libraries,,
A-DAQ Pro,A-DAQ Pro,Advantech,
HHD Software Free Serial Port Monitor 6.50,HHD Software Free Serial Port Monitor 6.50,"HHD Software, Ltd.",
NI-VISA Errors x64 17.5.0,NI-VISA Errors x64 17.5.0,National Instruments,
NI OPCEnum Shared 64-bit,NI OPCEnum Shared 64-bit,National Instruments,
NI Assistant Framework 64-bit LabVIEW 2015 Support,NI Assistant Framework 64-bit LabVIEW 2015 Support,National Instruments,
Bibliothèques MKL (64 bits),Bibliothèques MKL (64 bits),National Instruments,
NI LabVIEW Broker (64 bit),NI LabVIEW Broker (64 bit),National Instruments,
VISA.NET Shared Components 5.8.0 (64-Bit),VISA.NET Shared Components 5.8.0 (64-Bit),IVI Foundation,
NI Measurement Studio UI Runtime 2017 (64-bit) for .NET Framework 4.5,NI Measurement Studio UI Runtime 2017 (64-bit) for .NET Framework 4.5,National Instruments,
NI PXI Platform Services Runtime 17.5.1 64-bit,NI PXI Platform Services Runtime 17.5.1 64-bit,National Instruments,
NI Xerces Delay Load 2.7.9 64-bit,NI Xerces Delay Load 2.7.9 64-bit,National Instruments,
NI Controller Driver 17.5 64-bit,NI Controller Driver 17.5 64-bit,National Instruments,
KeePass Password Safe 2.42.1,KeePass Password Safe 2.42.1,Dominik Reichl,
7-Zip 22.01 (x64),7-Zip 22.01 (x64),Igor Pavlov,
ESET Management Agent,ESET Management Agent,"ESET, spol. s r.o.",
Realtek High Definition Audio Driver,Realtek High Definition Audio Driver,Realtek Semiconductor Corp.,
SD5,SD5,"Supermicro Computer, Inc.",
CodeMeter Runtime Kit Reduced v6.20a,CodeMeter Runtime Kit Reduced v6.20a,WIBU-SYSTEMS AG,
NI Xerces Delay Load 2.7.3 64-bit,NI Xerces Delay Load 2.7.3 64-bit,National Instruments,
NI-VISA x64 support 5.1.0,NI-VISA x64 support 5.1.0,National Instruments,
NI SSL Support (64-bit),NI SSL Support (64-bit),National Instruments,
Matrox Imaging (64-bit),Matrox Imaging (64-bit),Matrox Imaging,
VISA Shared Components 64-Bit,VISA Shared Components 64-Bit,,
Win7_x64,Win7_x64,ASPEED Technology Inc.,
NI Logos XT Support,NI Logos XT Support,National Instruments,
NI Xerces Delay Load 2.7.3,NI Xerces Delay Load 2.7.3,National Instruments,
NI System Web Server 2.0,NI System Web Server 2.0,National Instruments,
ASPEED Graphics WinS08R2_x64 v.0.99,ASPEED Graphics WinS08R2_x64 v.0.99,ASPEED Technology Inc.,
64 Bit HP CIO Components Installer,64 Bit HP CIO Components Installer,HP Inc.,
SAP Enable Now SLC Player 10.2.6.0318,SAP Enable Now SLC Player 10.2.6.0318,SAP SE,
Sentinel Protection Installer 7.6.7,Sentinel Protection Installer 7.6.7,"SafeNet, Inc.",
OpenEnterprise Solutions V3.3 Service Pack 7,OpenEnterprise Solutions V3.3 Service Pack 7,Emerson,
Zoom,Zoom,Zoom,
NI Xerces Delay Load 2.7.6,NI Xerces Delay Load 2.7.6,National Instruments,
NI Curl 14.0.0 (64-bit),NI Curl 14.0.0 (64-bit),National Instruments,
IBM Spectrum Protect Client,IBM Spectrum Protect Client,IBM,
Paint.NET v3.5.11,Paint.NET v3.5.11,dotPDN LLC,
NI Uninstaller 17.0.0,NI Uninstaller 17.0.0,National Instruments,
Daniel MeterLink 1.70.020,Daniel MeterLink 1.70.020,"Daniel Measurement and Control, Inc.",
SNC Client Encryption 2.0,SNC Client Encryption 2.0,SAP SE,
FactoryTalk Linx 6.21.00 (CPR 9 SR 12.0),FactoryTalk Linx 6.21.00 (CPR 9 SR 12.0),"Rockwell Automation, Inc.",
Patch Install 04.Apr.2022 Patch Rollup,Patch Install 04.Apr.2022 Patch Rollup,"Rockwell Automation, Inc.",
Studio 5000 Logix Designer v30.00.00 (CPR 9 SR 9),Studio 5000 Logix Designer v30.00.00 (CPR 9 SR 9),"Rockwell Automation, Inc.",
RSNetWorx for EtherNet/IP 28.01.00 (CPR 9 SR 11),RSNetWorx for EtherNet/IP 28.01.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
Rockwell Automation 1756 HART Module Profiles,Rockwell Automation 1756 HART Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Compact GuardLogix 5370 L3S Module Profiles,Rockwell Automation Compact GuardLogix 5370 L3S Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1440 XM Dynamic Measurement Module Profile,Rockwell Automation 1440 XM Dynamic Measurement Module Profile,"Rockwell Automation, Inc.",
RSLogix 5000 Module Profile Core System Updates,RSLogix 5000 Module Profile Core System Updates,"Rockwell Automation, Inc.",
Hardy Instruments 1756 Specialty Module Profiles,Hardy Instruments 1756 Specialty Module Profiles,"Hardy Instruments, Inc.",
Rockwell Automation PowerMonitor 5000 Module Profiles,Rockwell Automation PowerMonitor 5000 Module Profiles,"Rockwell Automation, Inc.",
Online Development 1756 Comm Module Profiles,Online Development 1756 Comm Module Profiles,"Online Development, Inc.",
Rockwell Automation Point Safety Discrete Module Profiles,Rockwell Automation Point Safety Discrete Module Profiles,"Rockwell Automation, Inc.",
FactoryTalk Diagnostics 6.11.00 (CPR 9 SR 11),FactoryTalk Diagnostics 6.11.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
RSLogix 5000 Module Profile Core System Updates 1,RSLogix 5000 Module Profile Core System Updates 1,"Rockwell Automation, Inc.",
Rockwell Automation 1734 ASCII Module Profiles,Rockwell Automation 1734 ASCII Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1738 Discrete Module Profiles 2,Rockwell Automation 1738 Discrete Module Profiles 2,"Rockwell Automation, Inc.",
Rockwell Automation Stratix 5700 Module Profiles,Rockwell Automation Stratix 5700 Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 48MS Vision Sensor Module Profiles,Rockwell Automation 48MS Vision Sensor Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1719 Analog Module Profiles,Rockwell Automation 1719 Analog Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Stratix 8000/8300 Module Profiles,Rockwell Automation Stratix 8000/8300 Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1794 Flex Specialty Module Profiles,Rockwell Automation 1794 Flex Specialty Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Kinetix5500 CIP Motion Safety Drive Modules,Rockwell Automation Kinetix5500 CIP Motion Safety Drive Modules,"Rockwell Automation, Inc.",
Rockwell Automation 1783 Ethernet Managed Switch Module Profile,Rockwell Automation 1783 Ethernet Managed Switch Module Profile,"Rockwell Automation, Inc.",
1734 IO-Link Module Profiles,1734 IO-Link Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Drives PowerFlex 7T Module Profiles,Rockwell Automation Drives PowerFlex 7T Module Profiles,"Rockwell Automation, Inc.",
RSNetWorx for ControlNet 28.01.00 (CPR 9 SR 11),RSNetWorx for ControlNet 28.01.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
Rockwell Automation 1799 Embedded Discrete Module Profile,Rockwell Automation 1799 Embedded Discrete Module Profile,"Rockwell Automation, Inc.",
RSLogix 5000 DeviceNet Tag Generator,RSLogix 5000 DeviceNet Tag Generator,"Rockwell Automation,Inc.",
ClearKeeper,ClearKeeper,Rockwell Automation,
Endress+Hauser EtherNet/IP Proline MASS Module Profiles,Endress+Hauser EtherNet/IP Proline MASS Module Profiles,"Endress+Hauser, Inc.",
Rockwell Automation Stratix 5800 18 Port Module Profiles,Rockwell Automation Stratix 5800 18 Port Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation MAB with CIP Safety Module Profiles,Rockwell Automation MAB with CIP Safety Module Profiles,"Rockwell Automation, Inc.",
ILX56-PBM PROFIBUS Master or Slave Module Profile,ILX56-PBM PROFIBUS Master or Slave Module Profile,ProSoft Technology,
Rockwell Automation 5069 Safety Discrete Module Profiles,Rockwell Automation 5069 Safety Discrete Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 5094 Analog Module Profiles,Rockwell Automation 5094 Analog Module Profiles,"Rockwell Automation, Inc.",
SafeZone CIP Safety Ethernet Scanner Module Profile,SafeZone CIP Safety Ethernet Scanner Module Profile,"Rockwell Automation, Inc.",
FANUC CNC with EDA EtherNet/IP Specialty Module Profiles,FANUC CNC with EDA EtherNet/IP Specialty Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 5094 HART Analog Module Profiles,Rockwell Automation 5094 HART Analog Module Profiles,"Rockwell Automation, Inc.",
FastReport 4 Embarcadero edition,FastReport 4 Embarcadero edition,FastReports,
Exaquantum Explorer,Exaquantum Explorer,Yokogawa Marex,
TeamViewer Host,TeamViewer Host,TeamViewer,
StellarProtect,StellarProtect,TXOne Networks Inc.,
MySQL ODBC 3.51 Driver,MySQL ODBC 3.51 Driver,MySQL AB,
DESKO Data Service 3.1 (64 bit),DESKO Data Service 3.1 (64 bit),DESKO GmbH,
QuickTime 7,QuickTime 7,Apple Inc.,
Apple Application Support,Apple Application Support,Apple Inc.,
DeviceUpdater,DeviceUpdater,DESKO GmbH,
PrinterSet,PrinterSet,CUSTOM,
HP ProLiant iLO 3 CHIF Driver (X64),HP ProLiant iLO 3 CHIF Driver (X64),Hewlett-Packard Company,
HP ProLiant iLO CHIF Driver (X64),HP ProLiant iLO CHIF Driver (X64),Hewlett-Packard Company,
Agentless Management Service,Agentless Management Service,Hewlett Packard Enterprise Development LP,
HPE Smart Array SR Event Notification Service,HPE Smart Array SR Event Notification Service,Hewlett Packard Enterprise Development LP,
BarTender UltraLite 9.20,BarTender UltraLite 9.20,Seagull Scientific,
IBM 4810-34x Ethernet Driver Installer[XP_10.43D/Vista_10.100],IBM 4810-34x Ethernet Driver Installer[XP_10.43D/Vista_10.100],International Business Machines,
Wincor Nixdorf JavaPOS Retail 1.7.11-8.9,Wincor Nixdorf JavaPOS Retail 1.7.11-8.9,,
Wincor Nixdorf JavaPOS THxxx Printers 1.7.11-8.2,Wincor Nixdorf JavaPOS THxxx Printers 1.7.11-8.2,,
IBM SurePOS 350 PCI Serial Port and Base Device Installer v4.0,IBM SurePOS 350 PCI Serial Port and Base Device Installer v4.0,International Business Machines Corporation,
IBM 4800-7x3 PCI Serial Port and Base Device Installer,IBM 4800-7x3 PCI Serial Port and Base Device Installer,International Business Machines,
PowerArchiver,PowerArchiver,,
Broadcom TPM Driver Installer,Broadcom TPM Driver Installer,Broadcom Corporation,
SIMATIC PLCSIM 64,SIMATIC PLCSIM 64,Siemens AG,
SIMATIC NCM FWL 64,SIMATIC NCM FWL 64,Siemens AG,
SIMATIC S7-SCL V5.6 Professional 2017,SIMATIC S7-SCL V5.6 Professional 2017,Siemens AG,
SIMATIC S7-GRAPH V5.6 Professional 2017,SIMATIC S7-GRAPH V5.6 Professional 2017,Siemens AG,
CONTEC API-DIO(WDM) Ver5.40 (Develop),CONTEC API-DIO(WDM) Ver5.40 (Develop),CONTEC,
RICOH Active Monitor -Standard- For FB13,RICOH Active Monitor -Standard- For FB13,RICOH,
GX Developer,GX Developer,,
AWS PV Drivers,AWS PV Drivers,Amazon Web Services,
McAfee ePolicy Orchestrator,McAfee ePolicy Orchestrator,"McAfee, Inc.",
NetTime,NetTime,Mark Griffiths,
TouchFree,TouchFree,Ultraleap Inc.,
PuTTY release 0.76 (64-bit),PuTTY release 0.76 (64-bit),Simon Tatham,
Trend Micro Management Infrastructure,Trend Micro Management Infrastructure,,
7-Zip 9.20 (x64 edition),7-Zip 9.20 (x64 edition),Igor Pavlov,
NI Logos64 XT Support,NI Logos64 XT Support,National Instruments,
GenICam v2.4,GenICam v2.4,GenICam Standard Committee,
National Instruments Software,National Instruments Software,National Instruments,
OPSL GUI,OPSL GUI,Coherent Inc.,
NI Logos 5.3.0,NI Logos 5.3.0,National Instruments,
NI LabVIEW Run-Time Engine 6.0,NI LabVIEW Run-Time Engine 6.0,National Instruments,
NI-RPC 4.2.2f0,NI-RPC 4.2.2f0,National Instruments,
NI-VISA Runtime 5.1.0,NI-VISA Runtime 5.1.0,National Instruments,
Vulkan Run Time Libraries 1.0.65.1,Vulkan Run Time Libraries 1.0.65.1,"LunarG, Inc.",
NI-ORB 14.1,NI-ORB 14.1,National Instruments,
NI-PAL 14.0 Error Files,NI-PAL 14.0 Error Files,National Instruments,
NI-QPXI 1.0.0,NI-QPXI 1.0.0,National Instruments,
OpenEnterprise Graphics,OpenEnterprise Graphics,Emerson,
WinCollect,WinCollect,IBM,
Symantec Endpoint Protection,Symantec Endpoint Protection,Symantec Corporation,
LINX QS Driver Package V1.0,LINX QS Driver Package V1.0,"Linx Technologies, Inc.",
MeterLink 1.90.037,MeterLink 1.90.037,"Micro Motion, Inc.",
SolarWinds Agent 2023.1.196.0,SolarWinds Agent 2023.1.196.0,"SolarWinds Worldwide, LLC.",
SAP Interactive Excel,SAP Interactive Excel,SAP SE,
NI MSI Properties,NI MSI Properties,National Instruments,
Freewave Tool Suite,Freewave Tool Suite,FreeWave Technologies,
ALM Client Launcher 4.0,ALM Client Launcher 4.0,Micro Focus International plc,
CodeMeter Runtime Kit v7.30,CodeMeter Runtime Kit v7.30,WIBU-SYSTEMS AG,
RSLogix 5000 Module Profile Setup Utility,RSLogix 5000 Module Profile Setup Utility,"Rockwell Automation, Inc.",
Buerkert GmbH Co. 1734 Discrete Module Profiles,Buerkert GmbH Co. 1734 Discrete Module Profiles,Buerkert GmbH Co. KG.,
Endress+Hauser EtherNet/IP Comm Module Profiles,Endress+Hauser EtherNet/IP Comm Module Profiles,"Endress+Hauser, Inc.",
RSLogix 5000 Module Profile Core EDS Support,RSLogix 5000 Module Profile Core EDS Support,"Rockwell Automation, Inc.",
"Rockwell Automation 1738 Discrete Module Profile, DeviceLogix","Rockwell Automation 1738 Discrete Module Profile, DeviceLogix","Rockwell Automation, Inc.",
Rockwell Automation E1 Plus Module Profiles,Rockwell Automation E1 Plus Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 5069 Analog Module Profiles,Rockwell Automation 5069 Analog Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation 1715 Ethernet Adapter Module Profile,Rockwell Automation 1715 Ethernet Adapter Module Profile,"Rockwell Automation, Inc.",
Rockwell Automation PowerFlex CIP Motion Drive Module Profiles,Rockwell Automation PowerFlex CIP Motion Drive Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation ControlLogix 5580 Module Profiles,Rockwell Automation ControlLogix 5580 Module Profiles,"Rockwell Automation, Inc.",
RSLogix Project Migrator,RSLogix Project Migrator,Rockwell Software,
Molex Corporation 1769 Comm Modbus Module Profiles,Molex Corporation 1769 Comm Modbus Module Profiles,Molex Corporation,
RSLogix 5000 v17.01.00 (CPR 9 SR 1),RSLogix 5000 v17.01.00 (CPR 9 SR 1),"Rockwell Automation, Inc.",
Rockwell Automation Drives PowerFlex 7 2 Module Profiles,Rockwell Automation Drives PowerFlex 7 2 Module Profiles,"Rockwell Automation, Inc.",
Dialight EtherNet/IP Module Profiles,Dialight EtherNet/IP Module Profiles,Dialight,
Cognex 1756 Comm Module Profiles,Cognex 1756 Comm Module Profiles,Cognex Corp,
FLIR Systems EtherNet/IP Specialty Module Profiles,FLIR Systems EtherNet/IP Specialty Module Profiles,FLIR Systems Corporation,
FANUC CNC EtherNet/IP Specialty Module Profiles,FANUC CNC EtherNet/IP Specialty Module Profiles,"Rockwell Automation, Inc.",
FactoryTalk Alarms and Events 6.11.00 (CPR 9 SR 11),FactoryTalk Alarms and Events 6.11.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
FactoryTalk Services Platform 6.11.00 (CPR 9 SR 11),FactoryTalk Services Platform 6.11.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
Rockwell DLR Tool,Rockwell DLR Tool,Rockwell Automation,
Rockwell Automation 1719 Discrete Module Profiles,Rockwell Automation 1719 Discrete Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Catalog Services,Rockwell Automation Catalog Services,"Rockwell Automation, Inc.",
Rockwell Automation 1732 EtherNet Safety Module Profiles,Rockwell Automation 1732 EtherNet Safety Module Profiles,"Rockwell Automation, Inc.",
ControlFLASH,ControlFLASH,"Rockwell Automation, Inc.",
Rockwell Automation Guardmaster safety relay Module Profile,Rockwell Automation Guardmaster safety relay Module Profile,"Rockwell Automation, Inc.",
Rockwell Automation 2-Port CIP Sync ENetIP Module Profiles,Rockwell Automation 2-Port CIP Sync ENetIP Module Profiles,"Rockwell Automation, Inc.",
Spectrum Controls 1756 Discrete Module Profiles,Spectrum Controls 1756 Discrete Module Profiles,"Spectrum Controls, Inc.",
Itoh Denki 2-Zone Controller Module Profiles,Itoh Denki 2-Zone Controller Module Profiles,"Itoh Denki, Inc.",
Rockwell Automation E300 Ethernet Module Profiles,Rockwell Automation E300 Ethernet Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Drives PowerFlex 7 4 Module Profiles,Rockwell Automation Drives PowerFlex 7 4 Module Profiles,"Rockwell Automation, Inc.",
Molex Corporation 1756 Comm Module Profiles,Molex Corporation 1756 Comm Module Profiles,Molex Corporation,
DeviceNet Node Commissioning Tool,DeviceNet Node Commissioning Tool,Rockwell Software,
FactoryTalk ViewPoint ME 11.00.00 (CPR 9 SR 11),FactoryTalk ViewPoint ME 11.00.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
FactoryTalk View Site Edition Client 11.00.00 (CPR 9 SR 11),FactoryTalk View Site Edition Client 11.00.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",
Rockwell Automation Stratix 5800 26 Port Module Profiles,Rockwell Automation Stratix 5800 26 Port Module Profiles,"Rockwell Automation, Inc.",
RSLogix 500 English 9.05.01 (CPR 9),RSLogix 500 English 9.05.01 (CPR 9),Rockwell Automation Inc,
RA 2-Port Quick Connect EtherNet/IP ArmorBlock Module Profiles,RA 2-Port Quick Connect EtherNet/IP ArmorBlock Module Profiles,"Rockwell Automation, Inc.",
Rockwell Automation Stratix 5800 Module Profiles,Rockwell Automation Stratix 5800 Module Profiles,"Rockwell Automation, Inc.",
Firebus 1756 Specialty Module Profiles,Firebus 1756 Specialty Module Profiles,Firebus LLC.,
Endress+Hauser EtherNet/IP Proline MAG Module Profiles,Endress+Hauser EtherNet/IP Proline MAG Module Profiles,"Endress+Hauser, Inc.",
Basic Bus Module Profile,Basic Bus Module Profile,Advanced Energy,
1791ES-ID2SSIR Module Profile,1791ES-ID2SSIR Module Profile,"Rockwell Automation, Inc.",
Delphi 3,Delphi 3,,
Hortonworks Hive ODBC Driver,Hortonworks Hive ODBC Driver,Hortonworks,
CA ARCserve Discovery Service,CA ARCserve Discovery Service,"CA, Inc.",
FinalBuilder 7.0.0.1499 Embarcadero Edition,FinalBuilder 7.0.0.1499 Embarcadero Edition,,
Exaquantum Admin Tools,Exaquantum Admin Tools,Yokogawa Marex,
Exaquantum Developer Tools,Exaquantum Developer Tools,Yokogawa Marex,
UltraVnc,UltraVnc,uvnc bvba,
Realtek Card Reader,Realtek Card Reader,Realtek Semiconductor Corp.,
Vulkan Run Time Libraries 1.0.61.0,Vulkan Run Time Libraries 1.0.61.0,"LunarG, Inc.",
SetupUSBTransport,SetupUSBTransport,IER,
AeroVcomService,AeroVcomService,CUSTOM,
C3Driver version 2.8.2,C3Driver version 2.8.2,Ingenico,
HP ProLiant Integrated Management Log Viewer,HP ProLiant Integrated Management Log Viewer,Hewlett-Packard Company,
