scale,caption,vendor,brief
10,Rockwell Automation Driver Package x64,Rockwell Automation,Rockwell Automation Driver Package x64 is designed for OT/ICS to provide communication between controllers and devices.
10,FactoryTalk Services Platform 6.21.00 (CPR 9 SR 12),"Rockwell Automation, Inc.","FactoryTalk Services Platform 6.21.00 (CPR 9 SR 12) is a software designed for OT/ICS from Rockwell Automation, Inc."
10,EtherNet IP Address Commissioning Tool,"Rockwell Automation, Inc.",EtherNet IP Address Commissioning Tool is designed for configuring and commissioning EtherNet/IP networks
10,FactoryTalk View Site Edition Client 12.00.00 (CPR 9 SR 12),"Rockwell Automation, Inc.","FactoryTalk View Site Edition Client 12.00.00 (CPR 9 SR 12) is a software designed for OT/ICS from Rockwell Automation, Inc."
10,FactoryTalk Transaction Manager 13.10.00,"Rockwell Automation, Inc.",FactoryTalk Transaction Manager 13.10.00 is a software designed for OT/ICS to manage transactions between devices.
10,Studio 5000 View Designer,"Rockwell Automation, Inc.",Studio 5000 View Designer is a software for designing and configuring Human Machine Interface (HMI) applications for Rockwell Automation's ControlLogix and CompactLogix platforms.
10,Mettler-Toledo 1756 Comm Module Profiles,Mettler-Toledo Corporation,Mettler-Toledo 1756 Comm Module Profiles is an industrial control system software for data communication and remote device management.
10,Tag Data Monitor Tool,Rockwell Automation,Tag Data Monitor Tool is designed for monitoring and analyzing data from OT/ICS systems
9,Bus Module Profile,Advanced Energy,Bus Module Profile (vendor Advanced Energy) is designed for monitoring and controlling industrial processes
10,Rockwell Automation 1734 Discrete Module Profiles 2,"Rockwell Automation, Inc.",Rockwell Automation 1734 Discrete Module Profiles 2 is an industrial control system software for monitoring and controlling industrial processes.
10,Rockwell Automation PowerFlex5 CIP Motion Drive Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation PowerFlex5 CIP Motion Drive Module Profiles is an industrial control system software for motion control applications.
10,Rockwell Automation DIO EtherNet Safety Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation DIO EtherNet Safety Module Profiles is designed for OT/ICS to provide secure communication and control of safety-related devices.
10,Rockwell Automation Drives PowerFlex 7 3 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Drives PowerFlex 7 3 Module Profiles is designed for industrial control systems and operational technology.
10,Rockwell Automation Kinetix5700 CIP Motion Modules,"Rockwell Automation, Inc.",Rockwell Automation Kinetix5700 CIP Motion Modules is a software designed for industrial automation and control systems.
10,Rockwell Automation CompactLogix 5370 L2 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation CompactLogix 5370 L2 Module Profiles is an industrial control system software for monitoring and controlling industrial processes.
10,Spectrum Controls 1769 Analog Module Profiles,"Spectrum Controls, Inc.",Spectrum Controls 1769 Analog Module Profiles is designed for OT/ICS to provide analog input/output modules for industrial automation.
10,Rockwell Automation 1734 Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1734 Discrete Module Profiles is a software designed for OT/ICS to control discrete I/O modules.
10,Endress+Hauser EtherNet/IP Module Profiles,"Endress+Hauser, Inc.",Endress+Hauser EtherNet/IP Module Profiles is designed for OT/ICS to enable communication between devices and controllers.
10,RSLogix 5000 v19.01.00 (CPR 9 SR 3),"Rockwell Automation, Inc.",RSLogix 5000 v19.01.00 is a software designed for programming and configuring industrial control systems.
10,Rockwell Automation 1738 Ethernet Adapter Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1738 Ethernet Adapter Module Profile is designed for industrial control systems (ICS) and operational technology (OT).
10,Logix5000 Task Monitor,Rockwell Automation,Logix5000 Task Monitor is a software designed for monitoring and controlling OT/ICS systems.
10,Rockwell Automation 2-Port Quick Connect ENetIP Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 2-Port Quick Connect ENetIP Module Profiles is designed for industrial control systems (ICS) and operational technology (OT).
10,Rockwell Automation 842E EtherNet/IP Encoder Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 842E EtherNet/IP Encoder Module Profiles is designed for industrial control systems to provide communication between devices.
10,OPC Core Components Redistributable (x64) 105.0,OPC Foundation,OPC Core Components Redistributable (x64) 105.0 is a software designed for OT/ICS to enable secure and reliable data exchange between devices and applications.
10,Rockwell Automation 2094 Kinetix IPIM Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 2094 Kinetix IPIM Module Profile is an industrial control system software for motion control applications.
10,Rockwell Automation Drives AOP Infrastructure,"Rockwell Automation, Inc.",Rockwell Automation Drives AOP Infrastructure is a software designed for OT/ICS.
10,Rockwell Automation 1734 Ethernet Adapter Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1734 Ethernet Adapter Module Profile is designed for industrial control systems (ICS) and operational technology (OT).
10,Rockwell Automation Dynamix Condition Monitor Module Profile,"Rockwell Automation, Inc.",Rockwell Automation Dynamix Condition Monitor Module Profile is a software designed for monitoring and analyzing the performance of industrial control systems.
10,Rockwell Automation Stratix 5410 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 5410 Module Profiles is an industrial control system software for managing and configuring industrial networks.
10,Rockwell Automation 1756 ControlNet Bridge Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1756 ControlNet Bridge Module Profiles is designed for OT/ICS to provide communication between ControlNet and EtherNet/IP networks.
9,Rockwell Automation 5XRF RFID Reader Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5XRF RFID Reader Module Profiles is designed for OT/ICS to read and write RFID tags.
10,FactoryTalk View Studio Enterprise 11.00.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",FactoryTalk View Studio Enterprise 11.00.00 is an industrial control system software for HMI and SCADA.
10,Logix Designer Help ENU,"Rockwell Automation, Inc.",Logix Designer Help ENU is a software designed for programming and configuring Rockwell Automation's Logix5000 controllers
10,Rockwell Automation 5094 Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5094 Discrete Module Profiles is designed for industrial control systems (ICS) to monitor and control industrial processes.
10,Rockwell Automation 1718-19 Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1718-19 Discrete Module Profiles is a software designed for OT/ICS.
10,Rockwell Automation CIP Safety Encoder Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation CIP Safety Encoder Module Profiles is designed for OT/ICS to provide safety-related motion control.
10,Rockwell Automation 1718-19 Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1718-19 Analog Module Profiles is designed for OT/ICS to provide analog input/output control.
9,BLH 1756 Module Profiles,BLH Nobel,BLH 1756 Module Profiles is a software designed for monitoring and controlling industrial processes
2,CA ARCserve Backup,"CA, Inc.",CA ARCserve Backup is a data protection and disaster recovery solution for physical and virtual environments.
2,CA ARCserve Backup Setup Support Files,"CA, Inc.",CA ARCserve Backup Setup Support Files provides backup and recovery solutions for businesses of all sizes
7,2D Barcode VCL Components 3.3.6,Han-soft Corporation.,2D Barcode VCL Components 3.3.6 is a software designed for generating 2D barcodes in OT/ICS applications.
3,Trend Micro OfficeScan Agent,Trend Micro Inc.,Trend Micro OfficeScan Agent is an endpoint security solution for protecting corporate networks from malware and other threats.
8,IER 99179 USB Fixed V-Com,IER,IER 99179 USB Fixed V-Com is a software designed for OT/ICS to provide secure communication between devices.
8,IERTest 2.7.0.14,IER,IERTest 2.7.0.14 is a software designed for testing and monitoring OT/ICS systems
8,DESKO PageScan SDK,DESKO GmbH,DESKO PageScan SDK is a software for scanning and processing documents for OT/ICS applications
8,C3Driver version 3.8.0-1,Ingenico,C3Driver version 3.8.0-1 is a software designed for OT/ICS to enable communication between Ingenico devices and host systems.
2,D-Link DWA-171,D-Link Corporation,D-Link DWA-171 is a wireless dual-band USB adapter for connecting to a wireless network.
2,Sage Office Addins,Sage,Sage Office Addins is a suite of productivity tools for Microsoft Office applications.
7,Headless Server Registry Update,Hewlett-Packard Company,Headless Server Registry Update is designed for managing and updating server registry settings
3,HP ProLiant iLO 3 Core Driver (X64),Hewlett-Packard Company,HP ProLiant iLO 3 Core Driver (X64) provides remote server management capabilities
8,HP Smart Array SAS/SATA Event Notification Service,"Hewlett-Packard Development Company, L.P.",HP Smart Array SAS/SATA Event Notification Service is a software for monitoring and managing storage devices in OT/ICS environments.
7,FireEye Endpoint Agent,FireEye,FireEye Endpoint Agent is a security software designed to protect OT/ICS systems from cyber threats.
8,HP ProLiant Agentless Management Service,Hewlett-Packard Company,HP ProLiant Agentless Management Service is a software for monitoring and managing HP ProLiant servers remotely
3,HP ProLiant Health Monitor Service (X64),Hewlett-Packard Company,HP ProLiant Health Monitor Service (X64) is a system monitoring tool for HP ProLiant servers
7,Toshiba Soft Modem AMR,,Toshiba Soft Modem AMR is a software designed for industrial control systems to enable remote access and monitoring.
3,SoundMAX,Analog Devices,SoundMAX is a software for audio playback and recording
3,Sophos AutoUpdate,Sophos Limited,Sophos AutoUpdate is a software for managing and updating endpoint security products.
10,SIMATIC S7-PCT,Siemens AG,SIMATIC S7-PCT is a programmable logic controller (PLC) software from Siemens AG for industrial automation and process control.
10,SIMATIC S7-PCT V3.4 + HF2 Professional 2017,Siemens AG,SIMATIC S7-PCT V3.4 + HF2 Professional 2017 is an industrial control system software for automation tasks.
7,Mabry BarCod,"Mabry Software, Inc.",Mabry BarCod is a barcode scanning software for industrial automation systems.
3,ExpressConnect Drivers & Services,Rivet Networks,ExpressConnect Drivers & Services is a networking software for PCs.
8,Dell Watchdog Timer Driver,DELL,Dell Watchdog Timer Driver is designed to monitor and reset system components in industrial control systems.
2,Veeam Installer Service,Veeam Software Group GmbH,Veeam Installer Service is a software for backing up and restoring data.
8,CONTEC API-DIO(98/PC)NT Ver7.20 (Runtime),CONTEC,CONTEC API-DIO(98/PC)NT Ver7.20 (Runtime) is a software designed for controlling digital I/O devices in OT/ICS environment.
3,Catalyst Control Center InstallProxy,"Advanced Micro Devices, Inc.",Catalyst Control Center InstallProxy is a software for managing AMD graphics cards.
2,AMD Catalyst Install Manager,"Advanced Micro Devices, Inc.",AMD Catalyst Install Manager is a software for managing and updating AMD graphics drivers.
2,MagicDisc 2.7.106,,MagicDisc 2.7.106 is a virtual CD/DVD-ROM emulator software
7,Faux Agilent IO Libraries,,Faux Agilent IO Libraries is a software designed for controlling and monitoring industrial automation systems.
9,A-DAQ Pro,Advantech,A-DAQ Pro is an industrial data acquisition and control software for OT/ICS applications.
7,HHD Software Free Serial Port Monitor 6.50,"HHD Software, Ltd.",HHD Software Free Serial Port Monitor 6.50 is a software designed for monitoring and analyzing serial port activities in OT/ICS systems.
10,NI-VISA Errors x64 17.5.0,National Instruments,NI-VISA Errors x64 17.5.0 is a software designed for OT/ICS to enable communication with instruments and devices.
10,NI OPCEnum Shared 64-bit,National Instruments,NI OPCEnum Shared 64-bit is a software designed for OT/ICS to enable communication between OPC clients and servers.
10,NI Assistant Framework 64-bit LabVIEW 2015 Support,National Instruments,NI Assistant Framework 64-bit LabVIEW 2015 Support is designed for OT/ICS applications.
8,Bibliothèques MKL (64 bits),National Instruments,Bibliothèques MKL (64 bits) is a software designed for numerical computing and scientific computing.
10,NI LabVIEW Broker (64 bit),National Instruments,NI LabVIEW Broker (64 bit) is a software designed for OT/ICS to enable secure communication between distributed systems.
8,VISA.NET Shared Components 5.8.0 (64-Bit),IVI Foundation,VISA.NET Shared Components 5.8.0 (64-Bit) is a software designed for communication between OT/ICS systems and other devices.
8,NI Measurement Studio UI Runtime 2017 (64-bit) for .NET Framework 4.5,National Instruments,NI Measurement Studio UI Runtime 2017 (64-bit) for .NET Framework 4.5 is a software for creating user interfaces for OT/ICS applications.
9,NI PXI Platform Services Runtime 17.5.1 64-bit,National Instruments,NI PXI Platform Services Runtime 17.5.1 64-bit is a software for developing and deploying applications for OT/ICS systems
9,NI Xerces Delay Load 2.7.9 64-bit,National Instruments,NI Xerces Delay Load 2.7.9 64-bit is a software designed for OT/ICS to enable communication between devices.
10,NI Controller Driver 17.5 64-bit,National Instruments,NI Controller Driver 17.5 64-bit is a software designed for OT/ICS to control and monitor industrial automation systems.
2,KeePass Password Safe 2.42.1,Dominik Reichl,KeePass Password Safe 2.42.1 is a password management software
2,7-Zip 22.01 (x64),Igor Pavlov,7-Zip is a file archiver with a high compression ratio.
7,ESET Management Agent,"ESET, spol. s r.o.",ESET Management Agent is a security software designed to protect OT/ICS systems from malicious threats.
0,Realtek High Definition Audio Driver,Realtek Semiconductor Corp.,Realtek High Definition Audio Driver is a software for audio playback and recording
8,SD5,"Supermicro Computer, Inc.",SD5 is a software designed for monitoring and controlling industrial processes
8,CodeMeter Runtime Kit Reduced v6.20a,WIBU-SYSTEMS AG,CodeMeter Runtime Kit Reduced v6.20a is designed for secure licensing and protection of OT/ICS software
9,NI Xerces Delay Load 2.7.3 64-bit,National Instruments,NI Xerces Delay Load 2.7.3 64-bit is a software designed for OT/ICS to enable communication between devices.
10,NI-VISA x64 support 5.1.0,National Instruments,NI-VISA x64 5.1.0 is a software designed for communication with instruments and devices in OT/ICS systems.
10,NI SSL Support (64-bit),National Instruments,NI SSL Support (64-bit) is a software designed for secure communication between OT/ICS systems.
7,Matrox Imaging (64-bit),Matrox Imaging,Matrox Imaging (64-bit) is a software for machine vision and image analysis applications.
8,VISA Shared Components 64-Bit,,VISA Shared Components 64-Bit is a software designed for communication between OT/ICS systems and other devices.
7,Win7_x64,ASPEED Technology Inc.,Win7_x64 is a software designed for monitoring and controlling industrial automation systems.
9,NI Logos XT Support,National Instruments,NI Logos XT Support is a software designed for programming and configuring industrial automation systems.
9,NI Xerces Delay Load 2.7.3,National Instruments,NI Xerces Delay Load 2.7.3 is a software designed for OT/ICS to provide secure communication and data exchange.
10,NI System Web Server 2.0,National Instruments,NI System Web Server 2.0 is a software designed for monitoring and controlling OT/ICS systems
8,ASPEED Graphics WinS08R2_x64 v.0.99,ASPEED Technology Inc.,ASPEED Graphics WinS08R2_x64 v.0.99 is a software designed for OT/ICS to provide graphics acceleration and display capabilities.
7,64 Bit HP CIO Components Installer,HP Inc.,HP CIO Components Installer is a software designed for OT/ICS to install drivers and other components.
7,SAP Enable Now SLC Player 10.2.6.0318,SAP SE,SAP Enable Now SLC Player 10.2.6.0318 is a software designed for OT/ICS to enable remote access and control of industrial systems.
8,Sentinel Protection Installer 7.6.7,"SafeNet, Inc.",Sentinel Protection Installer 7.6.7 is a software designed for protecting OT/ICS systems from unauthorized access.
10,OpenEnterprise Solutions V3.3 Service Pack 7,Emerson,OpenEnterprise Solutions V3.3 Service Pack 7 is an industrial control system software for monitoring and controlling industrial processes.
0,Zoom,Zoom,Zoom (vendor Zoom) is not designed for OT/ICS
8,NI Xerces Delay Load 2.7.6,National Instruments,NI Xerces Delay Load 2.7.6 is a software designed for OT/ICS to provide XML parsing and validation services.
9,NI Curl 14.0.0 (64-bit),National Instruments,NI Curl 14.0.0 (64-bit) is a software designed for developing and deploying web-based applications for OT/ICS
7,IBM Spectrum Protect Client,IBM,IBM Spectrum Protect Client is a backup and recovery software for OT/ICS systems.
0,Paint.NET v3.5.11,dotPDN LLC,Paint.NET v3.5.11 is a raster graphics editor for Windows.
10,NI Uninstaller 17.0.0,National Instruments,NI Uninstaller 17.0.0 is a software designed for OT/ICS to uninstall National Instruments software.
9,Daniel MeterLink 1.70.020,"Daniel Measurement and Control, Inc.",Daniel MeterLink 1.70.020 is a software designed for monitoring and controlling industrial processes
8,SNC Client Encryption 2.0,SAP SE,SNC Client Encryption 2.0 is a software designed for secure communication between OT/ICS systems and SAP SE.
10,FactoryTalk Linx 6.21.00 (CPR 9 SR 12.0),"Rockwell Automation, Inc.",FactoryTalk Linx 6.21.00 is an industrial control system software for monitoring and controlling automation processes.
10,Patch Install 04.Apr.2022 Patch Rollup,"Rockwell Automation, Inc.","Patch Install 04.Apr.2022 Patch Rollup is designed for OT/ICS systems from Rockwell Automation, Inc."
10,Studio 5000 Logix Designer v30.00.00 (CPR 9 SR 9),"Rockwell Automation, Inc.",Studio 5000 Logix Designer v30.00.00 is a software designed for programming and configuring Rockwell Automation's Logix5000 controllers for OT/ICS applications.
10,RSNetWorx for EtherNet/IP 28.01.00 (CPR 9 SR 11),"Rockwell Automation, Inc.","RSNetWorx for EtherNet/IP is a software for configuring, troubleshooting, and diagnosing EtherNet/IP networks and devices."
10,Rockwell Automation 1756 HART Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1756 HART Module Profiles is designed for OT/ICS to enable communication between HART-enabled devices and controllers.
10,Rockwell Automation Compact GuardLogix 5370 L3S Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Compact GuardLogix 5370 L3S Module Profiles is an industrial control system software for monitoring and controlling industrial processes.
10,Rockwell Automation 1440 XM Dynamic Measurement Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1440 XM Dynamic Measurement Module Profile is designed for monitoring and controlling industrial processes
10,RSLogix 5000 Module Profile Core System Updates,"Rockwell Automation, Inc.",RSLogix 5000 Module Profile Core System Updates is a software designed for programming and maintenance of industrial control systems.
9,Hardy Instruments 1756 Specialty Module Profiles,"Hardy Instruments, Inc.",Hardy Instruments 1756 Specialty Module Profiles is a software designed for monitoring and controlling industrial processes
10,Rockwell Automation PowerMonitor 5000 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation PowerMonitor 5000 Module Profiles is an industrial control system software for monitoring and controlling power systems.
8,Online Development 1756 Comm Module Profiles,"Online Development, Inc.",Online Development 1756 Comm Module Profiles is a software designed for industrial control systems to enable communication between devices.
10,Rockwell Automation Point Safety Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Point Safety Discrete Module Profiles is designed for industrial control systems to provide safety-rated discrete I/O.
10,FactoryTalk Diagnostics 6.11.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",FactoryTalk Diagnostics 6.11.00 is a software designed for monitoring and diagnosing OT/ICS systems.
10,RSLogix 5000 Module Profile Core System Updates 1,"Rockwell Automation, Inc.",RSLogix 5000 Module Profile Core System Updates 1 is a software designed for programming and maintenance of industrial control systems.
10,Rockwell Automation 1734 ASCII Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1734 ASCII Module Profiles is a software designed for OT/ICS to enable communication between devices.
10,Rockwell Automation 1738 Discrete Module Profiles 2,"Rockwell Automation, Inc.",Rockwell Automation 1738 Discrete Module Profiles 2 is an industrial control system software for monitoring and controlling industrial processes.
10,Rockwell Automation Stratix 5700 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 5700 Module Profiles is designed for industrial control system (ICS) and operational technology (OT).
10,Rockwell Automation 48MS Vision Sensor Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 48MS Vision Sensor Module Profiles is designed for OT/ICS to provide vision-based sensing capabilities.
10,Rockwell Automation 1719 Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1719 Analog Module Profiles is designed for OT/ICS to provide analog input/output control.
10,Rockwell Automation Stratix 8000/8300 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 8000/8300 Module Profiles is designed for industrial automation and control systems.
10,Rockwell Automation 1794 Flex Specialty Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1794 Flex Specialty Module Profiles is designed for industrial control systems (ICS) and operational technology (OT).
10,Rockwell Automation Kinetix5500 CIP Motion Safety Drive Modules,"Rockwell Automation, Inc.",Rockwell Automation Kinetix5500 CIP Motion Safety Drive Modules is designed for industrial automation and control systems.
10,Rockwell Automation 1783 Ethernet Managed Switch Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1783 Ethernet Managed Switch Module Profile is designed for industrial control systems (ICS) and operational technology (OT).
10,1734 IO-Link Module Profiles,"Rockwell Automation, Inc.",1734 IO-Link Module Profiles is a software designed for OT/ICS to provide communication between IO-Link devices and a Rockwell Automation controller.
10,Rockwell Automation Drives PowerFlex 7T Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Drives PowerFlex 7T Module Profiles is designed for industrial control systems (ICS) and operational technology (OT).
10,RSNetWorx for ControlNet 28.01.00 (CPR 9 SR 11),"Rockwell Automation, Inc.","RSNetWorx for ControlNet is a software designed for configuring, troubleshooting, and maintaining ControlNet networks."
10,Rockwell Automation 1799 Embedded Discrete Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1799 Embedded Discrete Module Profile is designed for industrial control systems (ICS) and operational technology (OT).
10,RSLogix 5000 DeviceNet Tag Generator,"Rockwell Automation,Inc.",RSLogix 5000 DeviceNet Tag Generator is a software designed for configuring and managing DeviceNet networks in OT/ICS systems.
10,ClearKeeper,Rockwell Automation,ClearKeeper is a software designed for OT/ICS to provide secure access to industrial control systems.
10,Endress+Hauser EtherNet/IP Proline MASS Module Profiles,"Endress+Hauser, Inc.",Endress+Hauser EtherNet/IP Proline MASS Module Profiles is designed for OT/ICS to provide secure communication and data exchange between devices.
10,Rockwell Automation Stratix 5800 18 Port Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 5800 18 Port Module Profiles is designed for industrial control system (ICS) and operational technology (OT).
10,Rockwell Automation MAB with CIP Safety Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation MAB with CIP Safety Module Profiles is a software designed for OT/ICS.
10,ILX56-PBM PROFIBUS Master or Slave Module Profile,ProSoft Technology,ILX56-PBM PROFIBUS Master or Slave Module Profile is designed for OT/ICS applications.
10,Rockwell Automation 5069 Safety Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5069 Safety Discrete Module Profiles is designed for industrial control systems to provide safety-rated discrete I/O.
10,Rockwell Automation 5094 Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5094 Analog Module Profiles is designed for OT/ICS to monitor and control analog signals.
10,SafeZone CIP Safety Ethernet Scanner Module Profile,"Rockwell Automation, Inc.",SafeZone CIP Safety Ethernet Scanner Module Profile is designed for OT/ICS to provide safety-related communication services.
9,FANUC CNC with EDA EtherNet/IP Specialty Module Profiles,"Rockwell Automation, Inc.","FANUC CNC with EDA EtherNet/IP Specialty Module Profiles is a software designed for OT/ICS to enable communication between FANUC CNC and Rockwell Automation, Inc."
10,Rockwell Automation 5094 HART Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5094 HART Analog Module Profiles is designed for OT/ICS to provide analog input/output modules for process control.
3,FastReport 4 Embarcadero edition,FastReports,FastReport 4 Embarcadero edition is a reporting tool for creating reports from various data sources.
10,Exaquantum Explorer,Yokogawa Marex,Exaquantum Explorer is a software designed for monitoring and controlling OT/ICS systems.
2,TeamViewer Host,TeamViewer,TeamViewer Host is a remote access software for desktop sharing and file transfer
8,StellarProtect,TXOne Networks Inc.,StellarProtect is a cybersecurity solution designed to protect OT/ICS networks from cyber threats.
3,MySQL ODBC 3.51 Driver,MySQL AB,MySQL ODBC 3.51 Driver is a database connectivity solution for connecting applications to MySQL databases
8,DESKO Data Service 3.1 (64 bit),DESKO GmbH,DESKO Data Service 3.1 (64 bit) is a software designed for monitoring and controlling industrial processes
0,QuickTime 7,Apple Inc.,QuickTime 7 is a media player for macOS and Windows
0,Apple Application Support,Apple Inc.,Apple Application Support is a software from Apple Inc. that provides support for various Apple applications.
8,DeviceUpdater,DESKO GmbH,DeviceUpdater is a software designed for OT/ICS to manage and update devices remotely.
7,PrinterSet,CUSTOM,PrinterSet is a software designed for monitoring and controlling industrial printers.
7,HP ProLiant iLO 3 CHIF Driver (X64),Hewlett-Packard Company,HP ProLiant iLO 3 CHIF Driver (X64) is a driver for HP ProLiant servers to enable remote management
7,HP ProLiant iLO CHIF Driver (X64),Hewlett-Packard Company,HP ProLiant iLO CHIF Driver (X64) is a driver for HP ProLiant servers to enable remote management
8,Agentless Management Service,Hewlett Packard Enterprise Development LP,Agentless Management Service is a software designed for monitoring and managing OT/ICS systems
8,HPE Smart Array SR Event Notification Service,Hewlett Packard Enterprise Development LP,HPE Smart Array SR Event Notification Service is a software designed for monitoring and alerting of hardware events in OT/ICS systems.
8,BarTender UltraLite 9.20,Seagull Scientific,"BarTender UltraLite 9.20 is a software designed for creating and printing labels, barcodes, RFID tags, and cards"
8,IBM 4810-34x Ethernet Driver Installer[XP_10.43D/Vista_10.100],International Business Machines,IBM 4810-34x Ethernet Driver Installer is designed for OT/ICS to enable communication between devices and networks.
7,Wincor Nixdorf JavaPOS Retail 1.7.11-8.9,,Wincor Nixdorf JavaPOS Retail 1.7.11-8.9 is a software designed for retail point-of-sale systems.
8,Wincor Nixdorf JavaPOS THxxx Printers 1.7.11-8.2,,Wincor Nixdorf JavaPOS THxxx Printers 1.7.11-8.2 is a software designed for OT/ICS.
7,IBM SurePOS 350 PCI Serial Port and Base Device Installer v4.0,International Business Machines Corporation,IBM SurePOS 350 PCI Serial Port and Base Device Installer v4.0 is designed for installing and configuring serial ports and base devices for OT/ICS.
8,IBM 4800-7x3 PCI Serial Port and Base Device Installer,International Business Machines,IBM 4800-7x3 PCI Serial Port and Base Device Installer is designed for OT/ICS to provide serial port communication.
0,PowerArchiver,,PowerArchiver is a file compression and encryption software.
3,Broadcom TPM Driver Installer,Broadcom Corporation,Broadcom TPM Driver Installer provides secure access to Trusted Platform Module (TPM) devices
10,SIMATIC PLCSIM 64,Siemens AG,SIMATIC PLCSIM 64 is a software for simulating and testing Siemens S7-300/400 PLCs
10,SIMATIC NCM FWL 64,Siemens AG,SIMATIC NCM FWL 64 is a software designed for industrial control systems (ICS) to manage communication networks.
10,SIMATIC S7-SCL V5.6 Professional 2017,Siemens AG,SIMATIC S7-SCL V5.6 Professional 2017 is a programming language for programming Siemens S7 controllers
10,SIMATIC S7-GRAPH V5.6 Professional 2017,Siemens AG,SIMATIC S7-GRAPH V5.6 Professional 2017 is a software for programming and operating SIMATIC S7-1200/1500 controllers
