scale,caption,vendor,brief
4,IER 99179 USB Fixed V-Com,IER,IER 99179 USB Fixed V-Com is a software designed for OT/ICS to provide secure communication between devices.
4,IERTest 2.7.0.14,IER,IERTest 2.7.0.14 is a software designed for testing and monitoring OT/ICS systems
3,DESKO PageScan SDK,DESKO GmbH,DESKO PageScan SDK is a software for scanning and processing documents
4,C3Driver version 3.8.0-1,Ingenico,C3Driver version 3.8.0-1 is a software designed for OT/ICS to enable communication between Ingenico devices and host systems.
0,D-Link DWA-171,D-Link Corporation,D-Link DWA-171 is a wireless dual-band USB adapter for home network.
2,Sage Office Addins,Sage,"Sage Office Addins is a software suite for creating and managing documents, spreadsheets, and presentations."
3,Headless Server Registry Update,Hewlett-Packard Company,Headless Server Registry Update is a software designed to manage and update server registry settings.
3,HP ProLiant iLO 3 Core Driver (X64),Hewlett-Packard Company,HP ProLiant iLO 3 Core Driver (X64) provides remote server management capabilities
4,HP Smart Array SAS/SATA Event Notification Service,"Hewlett-Packard Development Company, L.P.",HP Smart Array SAS/SATA Event Notification Service is a software for monitoring and managing storage devices in OT/ICS environments.
3,FireEye Endpoint Agent,FireEye,FireEye Endpoint Agent is a security software designed to protect OT/ICS systems from cyber threats.
3,HP ProLiant Agentless Management Service,Hewlett-Packard Company,HP ProLiant Agentless Management Service is a software for monitoring and managing HP ProLiant servers remotely
2,HP ProLiant Health Monitor Service (X64),Hewlett-Packard Company,HP ProLiant Health Monitor Service (X64) is a system monitoring tool for HP ProLiant servers
3,Toshiba Soft Modem AMR,,Toshiba Soft Modem AMR is a software for connecting to the internet via a modem
3,SoundMAX,Analog Devices,SoundMAX is an audio driver for Windows-based systems.
3,Sophos AutoUpdate,Sophos Limited,Sophos AutoUpdate is a software designed to keep OT/ICS systems up-to-date with the latest security patches.
5,SIMATIC S7-PCT,Siemens AG,SIMATIC S7-PCT is a programmable logic controller (PLC) software from Siemens AG for industrial automation and process control.
5,SIMATIC S7-PCT V3.4 + HF2 Professional 2017,Siemens AG,SIMATIC S7-PCT V3.4 + HF2 Professional 2017 is a software designed for OT/ICS applications.
3,Mabry BarCod,"Mabry Software, Inc.",Mabry BarCod is a barcode scanning software for industrial automation applications.
3,ExpressConnect Drivers & Services,Rivet Networks,ExpressConnect Drivers & Services is a software designed for managing network connections
4,Dell Watchdog Timer Driver,DELL,Dell Watchdog Timer Driver is designed to monitor and reset system components in industrial control systems.
2,Veeam Installer Service,Veeam Software Group GmbH,Veeam Installer Service is a software for backing up and restoring data in virtual environments.
4,CONTEC API-DIO(98/PC)NT Ver7.20 (Runtime),CONTEC,CONTEC API-DIO(98/PC)NT Ver7.20 (Runtime) is a software designed for controlling digital I/O devices in OT/ICS environment.
3,Catalyst Control Center InstallProxy,"Advanced Micro Devices, Inc.",Catalyst Control Center InstallProxy is a software for managing and configuring AMD graphics cards.
2,AMD Catalyst Install Manager,"Advanced Micro Devices, Inc.",AMD Catalyst Install Manager is a software for managing and updating graphics drivers.
2,MagicDisc 2.7.106,,MagicDisc 2.7.106 is a virtual CD/DVD-ROM emulator software
3,Faux Agilent IO Libraries,,Faux Agilent IO Libraries is a software designed for communication between instruments and computers.
4,A-DAQ Pro,Advantech,A-DAQ Pro is an industrial data acquisition software for monitoring and controlling OT/ICS systems
3,HHD Software Free Serial Port Monitor 6.50,"HHD Software, Ltd.",HHD Software Free Serial Port Monitor 6.50 is a software for monitoring serial port data exchange between serial devices and any Windows application
5,NI-VISA Errors x64 17.5.0,National Instruments,NI-VISA Errors x64 17.5.0 is a software designed for OT/ICS to enable communication with instruments and devices.
5,NI OPCEnum Shared 64-bit,National Instruments,NI OPCEnum Shared 64-bit is a software designed for OT/ICS to enable communication between OPC clients and servers.
5,NI Assistant Framework 64-bit LabVIEW 2015 Support,National Instruments,NI Assistant Framework 64-bit LabVIEW 2015 Support is designed for developing and deploying industrial control systems.
3,Bibliothèques MKL (64 bits),National Instruments,Software for numerical computing and scientific data analysis
4,NI LabVIEW Broker (64 bit),National Instruments,NI LabVIEW Broker (64 bit) is a software for securely connecting distributed systems for industrial automation.
4,VISA.NET Shared Components 5.8.0 (64-Bit),IVI Foundation,VISA.NET Shared Components 5.8.0 (64-Bit) is a software designed for communication between OT/ICS systems and other devices.
4,NI Measurement Studio UI Runtime 2017 (64-bit) for .NET Framework 4.5,National Instruments,NI Measurement Studio UI Runtime 2017 (64-bit) for .NET Framework 4.5 is a software designed for developing user interfaces for OT/ICS applications
4,NI PXI Platform Services Runtime 17.5.1 64-bit,National Instruments,NI PXI Platform Services Runtime 17.5.1 64-bit is a software for developing and deploying applications on PXI systems for OT/ICS.
4,NI Xerces Delay Load 2.7.9 64-bit,National Instruments,NI Xerces Delay Load 2.7.9 64-bit is a software designed for OT/ICS to enable communication between devices.
5,NI Controller Driver 17.5 64-bit,National Instruments,NI Controller Driver 17.5 64-bit is a software designed for OT/ICS to control and monitor industrial automation systems.
0,KeePass Password Safe 2.42.1,Dominik Reichl,KeePass Password Safe 2.42.1 is a password management software.
2,7-Zip 22.01 (x64),Igor Pavlov,7-Zip is a file archiver with a high compression ratio
3,ESET Management Agent,"ESET, spol. s r.o.",ESET Management Agent is a security software for managing and monitoring endpoint devices in OT/ICS networks.
0,Realtek High Definition Audio Driver,Realtek Semiconductor Corp.,Realtek High Definition Audio Driver is a software for audio playback and recording
3,SD5,"Supermicro Computer, Inc.",SD5 is a software designed for monitoring and controlling industrial automation systems.
4,CodeMeter Runtime Kit Reduced v6.20a,WIBU-SYSTEMS AG,CodeMeter Runtime Kit Reduced v6.20a is designed for secure licensing and protection of OT/ICS software
4,NI Xerces Delay Load 2.7.3 64-bit,National Instruments,NI Xerces Delay Load 2.7.3 64-bit is a software designed for OT/ICS to enable communication between devices.
4,NI-VISA x64 support 5.1.0,National Instruments,NI-VISA x64 support 5.1.0 is a software designed for communication with instruments and devices in OT/ICS systems
5,NI SSL Support (64-bit),National Instruments,NI SSL Support (64-bit) is a software designed for secure communication between OT/ICS systems.
3,Matrox Imaging (64-bit),Matrox Imaging,Matrox Imaging (64-bit) is a software for machine vision and image analysis applications.
4,VISA Shared Components 64-Bit,,VISA Shared Components 64-Bit is a software designed for OT/ICS to enable communication between devices and computers.
3,Win7_x64,ASPEED Technology Inc.,Win7_x64 is a software designed for monitoring and controlling industrial systems
5,NI Logos XT Support,National Instruments,NI Logos XT Support is a software designed for programming and configuring industrial control systems.
4,NI Xerces Delay Load 2.7.3,National Instruments,NI Xerces Delay Load 2.7.3 is a software designed for OT/ICS to provide XML parsing and validation services.
5,NI System Web Server 2.0,National Instruments,NI System Web Server 2.0 is a software designed for monitoring and controlling OT/ICS systems.
3,ASPEED Graphics WinS08R2_x64 v.0.99,ASPEED Technology Inc.,ASPEED Graphics WinS08R2_x64 v.0.99 is a software designed for OT/ICS systems.
3,64 Bit HP CIO Components Installer,HP Inc.,64 Bit HP CIO Components Installer is a software designed for managing and updating HP hardware components
3,SAP Enable Now SLC Player 10.2.6.0318,SAP SE,SAP Enable Now SLC Player 10.2.6.0318 is a software for remote access and control of OT/ICS systems
4,Sentinel Protection Installer 7.6.7,"SafeNet, Inc.",Sentinel Protection Installer 7.6.7 is a software designed for protecting OT/ICS systems from unauthorized access.
5,OpenEnterprise Solutions V3.3 Service Pack 7,Emerson,OpenEnterprise Solutions V3.3 Service Pack 7 is designed for OT/ICS to provide secure and reliable control system operations.
0,Zoom,Zoom,"Zoom (vendor Zoom) is a video conferencing software, not designed for OT/ICS."
4,NI Xerces Delay Load 2.7.6,National Instruments,NI Xerces Delay Load 2.7.6 is a software designed for OT/ICS to provide XML parsing and validation services.
4,NI Curl 14.0.0 (64-bit),National Instruments,NI Curl 14.0.0 (64-bit) is a software designed for developing distributed web-based applications for OT/ICS
3,IBM Spectrum Protect Client,IBM,IBM Spectrum Protect Client is a backup and recovery software for OT/ICS systems.
0,Paint.NET v3.5.11,dotPDN LLC,Paint.NET is a free image and photo editing software for Windows.
5,NI Uninstaller 17.0.0,National Instruments,NI Uninstaller 17.0.0 is a software designed for OT/ICS to uninstall National Instruments software.
4,Daniel MeterLink 1.70.020,"Daniel Measurement and Control, Inc.",Daniel MeterLink 1.70.020 is a software designed for monitoring and controlling industrial processes
3,SNC Client Encryption 2.0,SAP SE,SNC Client Encryption 2.0 is a software designed to secure communication between OT/ICS systems and SAP SE.
5,FactoryTalk Linx 6.21.00 (CPR 9 SR 12.0),"Rockwell Automation, Inc.","FactoryTalk Linx 6.21.00 is an industrial control system software for connecting, managing, and monitoring automation devices and equipment."
5,Patch Install 04.Apr.2022 Patch Rollup,"Rockwell Automation, Inc.",Patch Install 04.Apr.2022 Patch Rollup is designed for OT/ICS to provide security updates and bug fixes.
5,Studio 5000 Logix Designer v30.00.00 (CPR 9 SR 9),"Rockwell Automation, Inc.",Studio 5000 Logix Designer v30.00.00 is a software designed for programming and configuring Rockwell Automation's Logix5000 family of controller's for OT/ICS applications.
5,RSNetWorx for EtherNet/IP 28.01.00 (CPR 9 SR 11),"Rockwell Automation, Inc.","RSNetWorx for EtherNet/IP is a software designed for configuring, troubleshooting, and maintaining Rockwell Automation's EtherNet/IP networked devices."
5,Rockwell Automation 1756 HART Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1756 HART Module Profiles is designed for OT/ICS to enable communication between HART-enabled devices and a ControlLogix controller.
5,Rockwell Automation Compact GuardLogix 5370 L3S Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Compact GuardLogix 5370 L3S Module Profiles is an industrial control system software for monitoring and controlling industrial processes.
5,Rockwell Automation 1440 XM Dynamic Measurement Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1440 XM Dynamic Measurement Module Profile is designed for monitoring and controlling industrial processes.
5,RSLogix 5000 Module Profile Core System Updates,"Rockwell Automation, Inc.",RSLogix 5000 Module Profile Core System Updates is a software designed for programming and maintenance of industrial control systems.
4,Hardy Instruments 1756 Specialty Module Profiles,"Hardy Instruments, Inc.",Hardy Instruments 1756 Specialty Module Profiles is a software designed for monitoring and controlling industrial processes
5,Rockwell Automation PowerMonitor 5000 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation PowerMonitor 5000 Module Profiles is an OT/ICS software for monitoring and controlling industrial processes.
4,Online Development 1756 Comm Module Profiles,"Online Development, Inc.",Online Development 1756 Comm Module Profiles is a software designed for OT/ICS to enable communication between devices.
5,Rockwell Automation Point Safety Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Point Safety Discrete Module Profiles is designed for OT/ICS to provide safety-rated discrete I/O modules for use in safety applications.
5,FactoryTalk Diagnostics 6.11.00 (CPR 9 SR 11),"Rockwell Automation, Inc.",FactoryTalk Diagnostics 6.11.00 is a software designed for monitoring and diagnosing OT/ICS systems.
5,RSLogix 5000 Module Profile Core System Updates 1,"Rockwell Automation, Inc.",RSLogix 5000 Module Profile Core System Updates 1 is a software designed for programming and maintenance of industrial control systems.
5,Rockwell Automation 1734 ASCII Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1734 ASCII Module Profiles is a software designed for OT/ICS to enable communication between devices.
5,Rockwell Automation 1738 Discrete Module Profiles 2,"Rockwell Automation, Inc.",Rockwell Automation 1738 Discrete Module Profiles 2 is a software designed for OT/ICS to control and monitor industrial processes.
5,Rockwell Automation Stratix 5700 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 5700 Module Profiles is designed for industrial control system (ICS) and operational technology (OT) networks.
4,Rockwell Automation 48MS Vision Sensor Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 48MS Vision Sensor Module Profiles is designed for industrial automation and control systems.
5,Rockwell Automation 1719 Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1719 Analog Module Profiles is designed for monitoring and controlling industrial processes
5,Rockwell Automation Stratix 8000/8300 Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 8000/8300 Module Profiles is designed for industrial automation and control systems.
5,Rockwell Automation 1794 Flex Specialty Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 1794 Flex Specialty Module Profiles is designed for OT/ICS to provide a flexible and cost-effective solution for distributed I/O applications.
5,Rockwell Automation Kinetix5500 CIP Motion Safety Drive Modules,"Rockwell Automation, Inc.",Rockwell Automation Kinetix5500 CIP Motion Safety Drive Modules is designed for industrial control systems (ICS) and operational technology (OT).
5,Rockwell Automation 1783 Ethernet Managed Switch Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1783 Ethernet Managed Switch Module Profile is designed for industrial control systems to provide secure and reliable Ethernet communication.
5,1734 IO-Link Module Profiles,"Rockwell Automation, Inc.",1734 IO-Link Module Profiles is a software designed for OT/ICS to provide communication between IO-Link devices and a Rockwell Automation controller.
5,Rockwell Automation Drives PowerFlex 7T Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Drives PowerFlex 7T Module Profiles is designed for industrial control systems to monitor and control motor speed and torque.
5,RSNetWorx for ControlNet 28.01.00 (CPR 9 SR 11),"Rockwell Automation, Inc.","RSNetWorx for ControlNet is a software designed for configuring, troubleshooting, and maintaining ControlNet networks."
5,Rockwell Automation 1799 Embedded Discrete Module Profile,"Rockwell Automation, Inc.",Rockwell Automation 1799 Embedded Discrete Module Profile is designed for OT/ICS applications.
5,RSLogix 5000 DeviceNet Tag Generator,"Rockwell Automation,Inc.",RSLogix 5000 DeviceNet Tag Generator is a software designed for configuring and managing DeviceNet networks in OT/ICS systems.
5,ClearKeeper,Rockwell Automation,ClearKeeper is an industrial control system software from Rockwell Automation for monitoring and controlling industrial processes.
5,Endress+Hauser EtherNet/IP Proline MASS Module Profiles,"Endress+Hauser, Inc.",Endress+Hauser EtherNet/IP Proline MASS Module Profiles is designed for OT/ICS to provide secure communication between devices and systems.
5,Rockwell Automation Stratix 5800 18 Port Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation Stratix 5800 18 Port Module Profiles is designed for industrial control systems (ICS) and operational technology (OT).
5,Rockwell Automation MAB with CIP Safety Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation MAB with CIP Safety Module Profiles is designed for OT/ICS to provide safety-related communication services.
5,ILX56-PBM PROFIBUS Master or Slave Module Profile,ProSoft Technology,ILX56-PBM PROFIBUS Master or Slave Module Profile is designed for OT/ICS applications.
5,Rockwell Automation 5069 Safety Discrete Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5069 Safety Discrete Module Profiles is designed for OT/ICS to provide safety-rated discrete I/O modules for use in safety applications.
5,Rockwell Automation 5094 Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5094 Analog Module Profiles is designed for OT/ICS to provide analog input/output control.
5,SafeZone CIP Safety Ethernet Scanner Module Profile,"Rockwell Automation, Inc.",SafeZone CIP Safety Ethernet Scanner Module Profile is designed for OT/ICS to provide safety-related communication services.
4,FANUC CNC with EDA EtherNet/IP Specialty Module Profiles,"Rockwell Automation, Inc.",FANUC CNC with EDA EtherNet/IP Specialty Module Profiles is designed for industrial automation and control systems.
5,Rockwell Automation 5094 HART Analog Module Profiles,"Rockwell Automation, Inc.",Rockwell Automation 5094 HART Analog Module Profiles is designed for OT/ICS to provide analog input/output modules for process control.
2,FastReport 4 Embarcadero edition,FastReports,FastReport 4 Embarcadero edition is a report generator for Windows applications
5,Exaquantum Explorer,Yokogawa Marex,Exaquantum Explorer is a software designed for monitoring and controlling OT/ICS systems.
2,TeamViewer Host,TeamViewer,"TeamViewer Host is a remote access software for remote control, desktop sharing, online meetings, and file transfer"
4,StellarProtect,TXOne Networks Inc.,StellarProtect is a cybersecurity solution designed to protect OT/ICS networks from cyber threats.
2,MySQL ODBC 3.51 Driver,MySQL AB,MySQL ODBC 3.51 Driver is a database connectivity solution for connecting applications to MySQL databases
4,DESKO Data Service 3.1 (64 bit),DESKO GmbH,DESKO Data Service 3.1 (64 bit) is a software designed for OT/ICS to monitor and control industrial processes.
0,QuickTime 7,Apple Inc.,QuickTime 7 is a media player developed by Apple Inc.
0,Apple Application Support,Apple Inc.,Apple Application Support is a software from Apple Inc. that provides support for various Apple applications.
4,DeviceUpdater,DESKO GmbH,DeviceUpdater is a software designed for OT/ICS to manage and update devices remotely.
3,PrinterSet,CUSTOM,PrinterSet is a software designed for managing and configuring printers in OT/ICS environments.
3,HP ProLiant iLO 3 CHIF Driver (X64),Hewlett-Packard Company,HP ProLiant iLO 3 CHIF Driver (X64) provides remote server management capabilities
3,HP ProLiant iLO CHIF Driver (X64),Hewlett-Packard Company,HP ProLiant iLO CHIF Driver (X64) provides remote access to server hardware
4,Agentless Management Service,Hewlett Packard Enterprise Development LP,Agentless Management Service is a software designed for monitoring and managing OT/ICS systems
4,HPE Smart Array SR Event Notification Service,Hewlett Packard Enterprise Development LP,HPE Smart Array SR Event Notification Service is a software designed for monitoring and alerting of hardware events in OT/ICS systems.
3,BarTender UltraLite 9.20,Seagull Scientific,"BarTender UltraLite 9.20 is a software for designing and printing labels, barcodes, and RFID tags"
4,IBM 4810-34x Ethernet Driver Installer[XP_10.43D/Vista_10.100],International Business Machines,IBM 4810-34x Ethernet Driver Installer is designed for OT/ICS to enable communication between devices and networks.
3,Wincor Nixdorf JavaPOS Retail 1.7.11-8.9,,Wincor Nixdorf JavaPOS Retail 1.7.11-8.9 is a software designed for retail point-of-sale systems.
4,Wincor Nixdorf JavaPOS THxxx Printers 1.7.11-8.2,,Wincor Nixdorf JavaPOS THxxx Printers 1.7.11-8.2 is a software designed for OT/ICS to control and manage printers.
3,IBM SurePOS 350 PCI Serial Port and Base Device Installer v4.0,International Business Machines Corporation,IBM SurePOS 350 PCI Serial Port and Base Device Installer v4.0 is designed for installing and configuring serial ports and base devices
4,IBM 4800-7x3 PCI Serial Port and Base Device Installer,International Business Machines,IBM 4800-7x3 PCI Serial Port and Base Device Installer is designed for OT/ICS to provide serial port communication.
0,PowerArchiver,,PowerArchiver is a file compression and encryption software.
3,Broadcom TPM Driver Installer,Broadcom Corporation,Broadcom TPM Driver Installer is a software for providing secure access to Trusted Platform Module (TPM) devices
5,SIMATIC PLCSIM 64,Siemens AG,SIMATIC PLCSIM 64 is a software for simulating and testing Siemens S7-300/400 PLCs.
5,SIMATIC NCM FWL 64,Siemens AG,SIMATIC NCM FWL 64 is a software designed for industrial control systems to manage communication networks.
5,SIMATIC S7-SCL V5.6 Professional 2017,Siemens AG,SIMATIC S7-SCL V5.6 Professional 2017 is a software for programming and configuring SIMATIC S7-300/400/1200/1500 PLCs
